Number,Title,Link URL,PDF URL,Suggested Filename
167,Unveiling the Potential of Heterogeneous Catalysts for Molecular Solar Thermal Systems,https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/chem.202303230,,167. Unveiling_the_Potential_of_Heterogeneous_Catalysts_for_Molecular_Solar_Therm.pdf
166,"Multichromophoric photoswitches for solar energy storage: from azobenzene to norbornadiene, and MOST things in between",https://pubs.rsc.org/en/content/articlehtml/2024/ta/d3ta05972c,,166. Multichromophoric_photoswitches_for_solar_energy_storage_from_azobenzene_to_.pdf
165,Exploring the impact of select anchor groups for norbornadiene/quadricyclane single-molecule switches,https://pubs.rsc.org/en/content/articlelanding/2023/tc/d3tc02652c,,165. Exploring_the_impact_of_select_anchor_groups_for_norbornadienequ adricyclane_.pdf
164,Site Selectivity of Peptoids as Azobenzene Scaffold for Molecular Solar Thermal Energy Storage,https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/chem.202303168,,164. Site_Selectivity_of_Peptoids_as_Azobenzene_Scaffold_for_Molecular_Solar_Ther.pdf
163,Statistical Probability Factor in Triplet Mediated Photon Upconversion: A Case Study with Perylene,https://www.google.com/search?client=safari&rls=en&q=Statistical+Probability+Factor+in+Triplet+Mediated+Photon+Upconversion%3A+A+Case+Study+with+Perylene&ie=UTF-8&oe=UTF-8,,163. Statistical_Probability_Factor_in_Triplet_Mediated_Photon_Upconversion_A_Cas.pdf
162,Flow-Integrated Preparation of Norbornadiene Precursors for Solar Thermal Energy Storage,https://chemistry-europe.onlinelibrary.wiley.com/doi/epdf/10.1002/cssc.202301184?saml_referrer,,162. FlowIntegrated_Preparation_of_Norbornadiene_Precursors_for_Solar_Thermal_Ene.pdf
161,Chasing the Rainbow: Exploiting Photosensitizers to Drive Photoisomerization Reactions,https://onlinelibrary.wiley.com/doi/full/10.1002/rpm.20230012,,161. Chasing_the_Rainbow_Exploiting_Photosensitizers_to_Drive_Photoisomerization_R.pdf
160,Bulky Substituents Promote Triplet-Triplet Annihilation Over Triplet Excimer Formation in Naphthalene Derivatives,https://pubs.acs.org/doi/10.1021/jacs.3c08115,,160. Bulky_Substituents_Promote_TripletTriplet_Annihilation_Over_Triplet_Excimer_.pdf
159,The Effect of the Pd Precursors on the Shape of Hollow Ag–Pd Alloy Nanoparticles Using Ag Nanocubes as Seeds,https://doi.org/10.1021/acs.langmuir.3c00799,,159. The_Effect_of_the_Pd_Precursors_on_the_Shape_of_Hollow_AgPd_Alloy_Nanopartic.pdf
158,Searching the Chemical Space of Bicyclic Dienes for Molecular Solar Thermal Energy Storage Candidates,https://doi.org/10.1002/anie.202309543,,158. Searching_the_Chemical_Space_of_Bicyclic_Dienes_for_Molecular_Solar_Thermal.pdf
157,Bulk-Processed Plasmonic Plastic Nanocomposite Materials for Optical Hydrogen Detection,https://pubs.acs.org/doi/full/10.1021/acs.accounts.3c00182,,157. BulkProcessed_Plasmonic_Plastic_Nanocomposite_Materials_for_Optical_Hydroge.pdf
156,Protein Cohabitation: Long-term Immunoglobulin G Storage at Room Temperature,https://pubs.rsc.org/en/content/articlelanding/2023/TB/D3TB00161J,,156. Protein_Cohabitation_Longterm_Immunoglobulin_G_Storage_at_Room_Temperature.pdf
155,Efficient degassing and ppm- level oxygen monitoring flow chemistry system,https://pubs.rsc.org/en/content/articlelanding/2023/re/d3re00109a,,155. Efficient_degassing_and_ppmlevel_oxygen_monitoring_flow_chemistry_system.pdf
154,Investigating New Applications of a Photoswitchable Fluorescent Norbornadiene as a Multifunctional Probe for Delineation of Amy-loid Plaque Polymorphism,https://pubs.acs.org/doi/10.1021/acssensors.2c02496,,154. Investigating_New_Applications_of_a_Photoswitchable_Fluorescent_Norbornadien.pdf
153,Triplet-Triplet Annihilation Mediated Photon Upconversion Solar Energy Systems,https://doi.org/10.1039/D3QM00069A,,153. TripletTriplet_Annihilation_Mediated_Photon_Upconversion_Solar_Energy_Systems.pdf
152,Searches for bridged bicyclic molecules in Space--Norbornadiene and its cyano derivatives,https://pubs.rsc.org/en/content/articlehtml/2023/fd/d3fd00016h,,152. Searches_for_bridged_bicyclic_molecules_in_SpaceNorbornadiene_and_its_cyano_.pdf
151,Tunable Energy Release in a Reversible Molecular Solar Thermal System,https://pubs.acs.org/doi/abs/10.1021/acscatal.2c03043,,151. Tunable_Energy_Release_in_a_Reversible_Molecular_Solar_Thermal_System.pdf
150,High Throughput Screening of Norbornadiene/Quadricyclane Derivates for Molecular Solar Thermal Energy Storage,https://pubs.rsc.org/en/content/articlehtml/2022/cp/d2cp03032b,,150. High_Throughput_Screening_of_NorbornadieneQuadricyclane_Derivates_for_Molecu.pdf
149,Photolytic Studies of Norbornadiene Derivatives under High-intensity Light Conditions,https://pubs.acs.org/doi/abs/10.1021/acs.jpca.2c03583,,149. Photolytic_Studies_of_Norbornadiene_Derivatives_under_Highintensity_Light_Co.pdf
148,Optically controlled thermochromic switching for multi-input molecular logic,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.202212483,,148. Optically_controlled_thermochromic_switching_for_multiinput_molecular_logic.pdf
147,Nanofluidic Trapping of Faceted Colloidal Nanocrystals for Parallel Single Particle Catalysis,https://pubs.acs.org/doi/abs/10.1021/acsnano.2c06505,,147. Nanofluidic_Trapping_of_Faceted_Colloidal_Nanocrystals_for_Parallel_Single_P.pdf
146,Far-Red Triplet Sensitized Z- to - E Photoswitching of Azobenzene in Bioplastics,https://pubs.rsc.org/en/content/articlehtml/2022/sc/d2sc04230d,,146. FarRed_Triplet_Sensitized_Z_to_E_Photoswitching_of_Azobenzene_in_Bioplastics.pdf
145,Recyclable Optical Bioplastics Platform for Solid State Red Light Harvesting via Triplet-triplet Annihilation Photon Upconversion,https://pubs.rsc.org/en/content/articlehtml/2022/ta/d2ta04810h,,145. Recyclable_Optical_Bioplastics_Platform_for_Solid_State_Red_Light_Harvestin.pdf
144,Status and challenges for molecular solar thermal energy storage system based devices,https://pubs.rsc.org/en/content/articlehtml/2022/cs/d1cs00890k,,144. Status_and_challenges_for_molecular_solar_thermal_energy_storage_system_base.pdf
143,Rechargeable molecular solar thermal system below 0°C,https://pubs.rsc.org/en/content/articlepdf/2022/sc/d2sc01873j,,143. Rechargeable_molecular_solar_thermal_system_below_0C.pdf
142,Approaching the Spin-Statistical Limit in Visible-to-Ultraviolet Photon Upconversion,https://pubs.acs.org/doi/10.1021/jacs.1c13222,,142. Approaching_the_SpinStatistical_Limit_in_VisibletoUltraviolet_Photon_Upconve.pdf
141,Chip scale solar thermal electrical power generation,https://www.sciencedirect.com/science/article/pii/S266638642200056X,,141. Chip_scale_solar_thermal_electrical_power_generation.pdf
140,Thermo-optical performance of molecular solar thermal energy storage films,https://www.sciencedirect.com/science/article/pii/S0306261922000277,,140. Thermooptical_performance_of_molecular_solar_thermal_energy_storage_films.pdf
139,"Synthesis, Characterization and Computational Evaluation of Bicyclooctadienes Towards Molecular Solar Thermal Energy Storage",https://pubs.rsc.org/en/content/articlelanding/2022/sc/d1sc05791j,,139. Synthesis_Characterization_and_Computational_Evaluation_of_Bicyclooctadienes_.pdf
138,An Investigation of the Structural and Thermochemical Properties of [2.2.2]-Bicyclooctadienes Photoswitches,https://pubs.acs.org/doi/10.1021/acs.jpca.1c07737,,138. An_Investigation_of_the_Structural_and_Thermochemical_Properties_of_222Bicy.pdf
137,Storing Energy with Molecular Photoisomers,https://www.sciencedirect.com/science/article/pii/S2542435121004979,,137. Storing_Energy_with_Molecular_Photoisomers.pdf
136,Liquid Based Multi-Junction Molecular Solar Thermal Energy Collection Device,https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202103060,https://www.moth-poulsen.com/_files/ugd/51029e_69f70e9e7e35460d938bf9dfbbf55ef7.pdf,136. Liquid_Based_MultiJunction_Molecular_Solar_Thermal_Energy_Collection_Device.pdf
135,Robust Colloidal Synthesis of Palladium-Gold Alloy Nanoparticles for Hydrogen Sensing,https://doi.org/10.1021/acsami.1c15315,,135. Robust_Colloidal_Synthesis_of_PalladiumGold_Alloy_Nanoparticles_for_Hydrogen_.pdf
134,Scalable Synthesis of Norbornadienes via in situ Cracking of Dicyclopentadiene using Continuous Flow Chemistry,https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejoc.202100795,,134. Scalable_Synthesis_of_Norbornadienes_via_in_situ_Cracking_of_Dicyclopentadie.pdf
133,Tuning Electrostatic Gating of Semi-Conducting Carbon Nanotubes by Controlling Protein Orientation in Biosensing Devices,https://doi.org/10.1002/anie.202104044,,133. Tuning_Electrostatic_Gating_of_SemiConducting_Carbon_Nanotubes_by_Controlli.pdf
132,Intra-molecular Triplet-Triplet Annihilation Photon Upconversion in Diffusionally Restricted Anthracene Polymer,https://doi.org/10.1021/acs.jpcb.1c02856,https://www.moth-poulsen.com/_files/ugd/51029e_7f01b360d9994757882c93e4e00ccb9a.pdf,132. Intramolecular_TripletTriplet_Annihilation_Photon_Upconversion_in_Diffusiona.pdf
131,A Highly Permeable Fluorinated Polymer Nanocomposite for Plasmonic Hydrogen Sensing,https://doi.org/10.1021/acsami.1c01968,,131. A_Highly_Permeable_Fluorinated_Polymer_Nanocomposite_for_Plasmonic_Hydrogen_.pdf
130,Catalytically active and thermally stable core-shell gold-silica nanorods for CO oxidation,https://doi.org/10.1039/D1RA01577J,,130. Catalytically_active_and_thermally_stable_coreshell_goldsilica_nanorods_for_C.pdf
129,Photoisomerization efficiency of a solar thermal fuel in the strong coupling regime,https://doi.org/10.1002/adfm.202010737,,129. Photoisomerization_efficiency_of_a_solar_thermal_fuel_in_the_strong_coupling.pdf
128,Synthesis of highly monodisperse Pd nanoparticles using a binary surfactant combination and sodium oleate as reductant,https://doi.org/10.1039/D1NA00052G,,128. Synthesis_of_highly_monodisperse_Pd_nanoparticles_using_a_binary_surfactant_.pdf
127,Photon upconverting bioplastics with high efficiency and in-air durability,https://doi.org/10.1039/D1TC00287B,,127. Photon_upconverting_bioplastics_with_high_efficiency_and_inair_durability.pdf
126,Single Molecule Electronic Devices with carbon-based Materials: Status and Opportunity,https://doi.org/10.1039/D0NR07844A,,126. Single_Molecule_Electronic_Devices_with_carbonbased_Materials_Status_and_Opp.pdf
125,Covalent incorporation of diphenylanthracene in oxotriphenylhexanoate organogels as a quasi-solid photon upconversion matrix,https://doi.org/10.1063/5.0029307,,125. Covalent_incorporation_of_diphenylanthracene_in_oxotriphenylhexanoate_organo.pdf
124,Microwave-heated γ-Alumina Applied to the Reduction of Aldehydes to Alcohols,https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/cctc.202001284,,124. Microwaveheated_Alumina_Applied_to_the_Reduction_of_Aldehydes_to_Alcohols.pdf
123,Evolution from tunneling to hopping mediated triplet energy transfer from quantum dots to molecules,https://pubs.acs.org/doi/10.1021/jacs.0c07727,,123. Evolution_from_tunneling_to_hopping_mediated_triplet_energy_transfer_from_qu.pdf
122,Triplet State Driven NIR to Visible Molecular Photon Upconversion,https://doi.org/10.1039/D0CS00257G,https://www.moth-poulsen.com/_files/ugd/51029e_8f1c4d9dc46d47fbb3b7acde7d1b2e5c.pdf,122. Triplet_State_Driven_NIR_to_Visible_Molecular_Photon_Upconversion.pdf
121,Bulk-Processed Pd Nanocube – Poly(methyl methacrylate) Nanocomposites as Plasmonic Plastics for Hydrogen Sensing,https://pubs.acs.org/doi/abs/10.1021/acsanm.0c01907,,121. BulkProcessed_Pd_Nanocube_Polymethyl_methacrylate_Nanocomposites_as_Plasmonic.pdf
120,A Non-Conjugated Polymer Acceptor for Efficient and Thermally Stable All-Polymer Solar Cells,https://doi.org/10.1002/anie.202005662,,120. A_NonConjugated_Polymer_Acceptor_for_Efficient_and_Thermally_Stable_AllPolym.pdf
119,Engineering of Norbornadiene-Quadricyclane Photoswitches for Molecular Solar Thermal Energy Storage Applications,https://pubs.acs.org/doi/10.1021/acs.accounts.0c00235,,119. Engineering_of_NorbornadieneQuadricyclane_Photoswitches_for_Molecular_Solar_.pdf
118,Photochemical phase transitions enable co-harvesting of photon energy and ambient heat for energetic molecular solar thermal batteries that upgrade thermal energy,https://doi.org/10.1021/jacs.0c03748,,118. Photochemical_phase_transitions_enable_coharvesting_of_photon_energy_and_am.pdf
117,Photo- and Collision-Induced Isomerization of a Charge-Tagged Norbornadiene–Quadricyclane System,https://doi.org/10.1021/acs.jpclett.0c01198,,117. Photo_and_CollisionInduced_Isomerization_of_a_ChargeTagged_NorbornadienQua.pdf
116,Constructing a Library of Metal and Metal-Oxide Nanoparticle Heterodimers through Colloidal Assembly,https://dx.doi.org/,https://www.moth-poulsen.com/_files/ugd/2c8194_774ded5fa4094a7e9ebc1c7b5742fde1.pdf,116. Constructing_a_Library_of_Metal_and_MetalOxide_Nanoparticle_Heterodimers_th.pdf
115,A Memristive Element based on Electrically Controlled Single-Molecule Reaction,https://dx.doi.org/10.1002/anie.202002300,,115. A_Memristive_Element_based_on_Electrically_Controlled_SingleMolecule_Reaction.pdf
114,The Impact of Surfactants and Stabilizers on Palladium Nanoparticle-Hydrogen Interaction Kinetics: Implications for Hydrogen Sensors,https://pubs.acs.org/doi/abs/10.1021/acsanm.0c00020,,114. The_Impact_of_Surfactants_and_Stabilizers_on_Palladium_NanoparticleHydrogen_Interaction_Kinetics_Implications_for_Hydrogen_Sensors.pdf
113,Electrochemically Controlled Energy Release from a Norbornadiene-Based Solar Thermal Fuel: Increasing the Reversibility to 99.8% using HOPG as the Electrode Material,https://pubs.rsc.org/en/content/articlelanding/2020/ta/d0ta00377h#!divAbstract,,113. Electrochemically_Controlled_Energy_Release_from_a_NorbornadieneBased_Solar.pdf
112,Establishing linear-free-energy relationships for the quadricyclane-to-norbornadiene reaction,https://pubs.rsc.org/en/content/articlelanding/2020/ob/d0ob00147c#!divAbstract,,112. Establishing_linearfreeenergy_relationships_for_the_quadricyclanetonorborna.pdf
111,Understanding Interactions Driving the Template-Directed Self-Assembly of Colloidal Nanoparticles at Surfaces,https://dx.doi.org/10.1021/acs.jpcc.0c00710,https://www.moth-poulsen.com/_files/ugd/2c8194_0d49d60003914a10869145262f85c68a.pdf,111. Understanding_Interactions_Driving_the_TemplateDirected_SelfAssembly_of_Col.pdf
110,Synthesis of Palladium Nanodendrites Using a Mixture of Cationic and Anionic Surfactants,https://dx.doi.org/10.1021/acs.langmuir.9b03804,https://www.moth-poulsen.com/_files/ugd/2c8194_15f975b629ba4661a1c8ee7feabea34c.pdf,110. Synthesis_of_Palladium_Nanodendrites_Using_a_Mixture_of_Cationic_and_Anionic.pdf
109,"Donor-Acceptor Substituted Benzo-, Naphtho- and Phenanthro-fused Norbornadienes",https://doi.org/10.3390/molecules25020322,https://www.moth-poulsen.com/_files/ugd/2c8194_8509aea5c1ee4d688813d10a4b8246c4.pdf,109. DonorAcceptor_Substituted_Benzo_Naphtho_and_Phenanthrofused_Norbornadienes.pdf
108,Norbornadiene Photoswitches Anchored to Well-Defined Oxide Surfaces: From Ultrahigh Vacuum into the Liquid and the Electrochemical Environment,https://aip.scitation.org/doi/abs/10.1063/1.5137897%40jcp.2020.EDCH2019.issue-1,https://www.moth-poulsen.com/_files/ugd/2c8194_651eec223f904d99b2d573f33f11f8ca.pdf,108. Norbornadiene_Photoswitches_Anchored_to_WellDefined_Oxide_Surfaces_From_Ultr.pdf
107,Water-in-Bisalt Electrolyte with Record Salt Concentration and Widened Electrochemical Stability Window,https://doi.org/10.1021/acs.jpclett.9b01467,https://www.moth-poulsen.com/_files/ugd/51029e_0af64b0047dd4a3a86d2b8f84c4c162b.pdf,107. WaterinBisalt_Electrolyte_with_Record_Salt_Concentration_and_Widened_Electr.pdf
106,Continuous microuidic synthesis of Pd nanocubes and PdPt core-shell nanoparticles and their catalysis of NO2 reduction,https://doi.org/10.1021/acsami.9b09701,,106. Continuous_microuidic_synthesis_of_Pd_nanocubes_and_PdPt_coreshell_nanopar.pdf
105,Ionic liquid based battery electrolytes by lithium and sodium pseudo-delocalized pyridinium anion salts,https://pubs.rsc.org/en/content/articlelanding/2019/ob/c9ob01545k#!divAbstract,https://www.moth-poulsen.com/_files/ugd/51029e_176735adcd7a4f5eb0de33e020c12c4a.pdf,105. Ionic_liquid_based_battery_electrolytes_by_lithium_and_sodium_pseudodelocaliz.pdf
104,Norbornadiene-Dihydroazulene Conjugates,https://pubs.rsc.org/en/content/articlelanding/2019/ob/c9ob01545k#!divAbstract,https://www.moth-poulsen.com/_files/ugd/51029e_05d873a259954c7e9a5f1dd26a451d8a.pdf,104. NorbornadieneDihydroazulene_Conjugates.pdf
103,Intermolecular London Dispersion Interactions of Azobenzene Switches for Tuning Molecular Solar Thermal Energy Storage Systems,https://doi.org/10.1002/cplu.201900330,https://www.moth-poulsen.com/_files/ugd/51029e_8aa1d7b2853643b480b9fc42f9af2d2b.pdf,103. Intermolecular_London_Dispersion_Interactions_of_Azobenzene_Switches_for_Tun.pdf
102,Electrochemically controlled energy storage in a norbornadiene-based solar fuel with 99% reversibility,https://doi.org/10.1016/j.nanoen.2019.103872,https://www.moth-poulsen.com/_files/ugd/51029e_1c4cb8f58aff4de494635a4efdd37f5b.pdf,102. Electrochemically_controlled_energy_storage_in_a_norbornadienebased_solar_fu.pdf
101,Demonstration of an Azobenzene Derivative based Solar Thermal Energy Storage System,https://doi.org/10.1039/C9TA04905C,https://www.moth-poulsen.com/_files/ugd/51029e_3d2235a0fdf44f87aed932904990f426.pdf,101. Demonstration_of_an_Azobenzene_Derivative_based_Solar_Thermal_Energy_Storage.pdf
100,Solar energy storage at an atomically defined organic-oxide hybrid interface,https://www.nature.com/articles/s41467-019-10263-4,https://www.moth-poulsen.com/_files/ugd/51029e_4c469f23070b43baa8b09d6162700ea5.pdf,100. Solar_energy_storage_at_an_atomically_defined_organicoxide_hybrid_interface.pdf
99,Solar energy storage by molecular Norbornadiene-Quadricyclane photoswitches: polymer film devices,https://doi.org/10.1002/advs.201900367,,99. Solar_energy_storage_by_molecular_NorbornadieneQuadricyclane_photoswitches_p.pdf
98,"Solvent effects on the absorption profile, kinetic stability, and photoisomerization process of the norbornadiene – quadricyclanes system",http://doi.org/10.1021/acs.jpcc.9b02111,,98. Solvent_effects_on_the_absorption_profile_kinetic_stability_and_photoisomeri.pdf
97,Tuning Molecular Solar Thermal properties by modification of a promising norbornadiene photoswitch,http://doi.org/10.1002/ejoc.201801781,,97. Tuning_Molecular_Solar_Thermal_properties_by_modification_of_a_promising_nor.pdf
96,"From Single Molecules to Thin Film Electronics, Nanofibers, e-Textiles and Power Cables: Bridging Length Scales with Organic Semiconductors",http://doi.org/10.1002/adma.201807286,,96. From_Single_Molecules_to_Thin_Film_Electronics_Nanofibers_eTextiles_and_Powe.pdf
95,Dithiafulvene derivatized donor-acceptor norbornadienes with redshifted absorption,http://doi.org/10.1039/C8CP07744D,,95. Dithiafulvene_derivatized_donoracceptor_norbornadienes_with_redshifted_absor.pdf
94,Solvent-Free Lithium and Sodium Containing Electrolytes Based on Pseudo-Delocalized Anions,http://doi.org/10.1039/C8CC07076H,,94. SolventFree_Lithium_and_Sodium_Containing_Electrolytes_Based_on_PseudoDeloca.pdf
